Symbol,Stock name
541228,Taylormade Renewables Ltd
ALPEXSOLAR,Alpex Solar Ltd
APS,Australian Premium Solar (India) Ltd
CGPOWER,CG Power and Industrial Solutions Ltd
GET&D,Ge T&d India Limited
INDOTECH,Indo Tech Transformers Limited
KEC,Kec International Limited
SCHNEIDER,Schneider Electric Infrastructure Limited
SERVOTECH,Servotech Power Systems Ltd
SOLEX,Solex Energy Ltd
TDPOWERSYS,Td Power Systems Limited
TRIL,Transformers And Rectifiers (india) Limited
TRITURBINE,Triveni Turbine Limited
WEL,Wonder Electricals Ltd
520075,Samkrg Pistons & Rings Ltd
523229,Bharat Seats Ltd
531727,Menon Pistons Ltd
BANCOINDIA,Banco Products (i) Limited
DIVGIITTS,Divgi Torqtransfer Systems Ltd
ENDURANCE,Endurance Technologies Limited
EXIDEIND,Exide Industries Limited
GABRIEL,Gabriel India Limited
GNA,Gna Axles Limited
HBLPOWER,Hbl Power Systems Limited
INDNIPPON,India Nippon Electricals Limited
JAMNAAUTO,Jamna Auto Industries Limited
JAYBARMARU,Jay Bharat Maruti Limited
JMA,Jullundur Motor Agency (delhi) Limited
JTEKTINDIA,JTEKT India Ltd
LUMAXTECH,Lumax Auto Technologies Limited
MINDACORP,Minda Corporation Limited
MOTHERSON,Motherson Sumi Systems Limited
MSUMI,Motherson Sumi Wiring India Ltd
MUNJALAU,Munjal Auto Industries Limited
MUNJALSHOW,Munjal Showa Limited
PRECAM,Precision Camshafts Limited
PRICOLLTD,Pricol Ltd
PRITIKAUTO,Pritika Auto Industries Ltd
RICOAUTO,Rico Auto Industries Limited
SONACOMS,Sona BLW Precision Forgings Ltd
SSWL,Steel Strips Wheels Limited
SUBROS,Subros Limited
SUPRAJIT,Suprajit Engineering Limited
TALBROAUTO,Talbros Automotive Components Limited
UNOMINDA,Uno Minda Ltd
VARROC,Varroc Engineering Ltd
WHEELS,Wheels India Limited
500168,Goodyear India Ltd
504000,Elpro International Ltd
505250,G.g.dandekar Machine Works Ltd
505710,Grauer & Weil (India) Ltd
505712,Gujarat Automotive Gears Ltd
505729,Singer India Ltd
506640,Gujchem Distillers India Ltd
506910,Jaysynth Dyestuff (india) Ltd
522257,Rajoo Engineers Ltd
524210,Pentokey Organy (india) Ltd
530185,Surat Textile Mills Ltd
530431,Ador Fontech Ltd
534612,Advance Metering Technology Limited
543547,DDev Plastiks Industries Ltd
544021,Protean eGov Technologies Ltd
ADFFOODS,Adf Foods Limited
ADVANIHOTR,Advani Hotels & Resorts (india) Limited
APOLLOTYRE,Apollo Tyres Limited
ARCHIDPLY,Archidply Industries Limited
ASLIND,ASL Industries Ltd
ATULAUTO,Atul Auto Limited
AWL,Adani Wilmar Ltd
BALMLAWRIE,Balmer Lawrie & Company Limited
BCG,Brightcom Group Ltd
BEPL,Bhansali Engineering Polymers Limited
BGRENERGY,Bgr Energy Systems Limited
BLISSGVS,Bliss Gvs Pharma Limited
CLOUD,Varanium Cloud Ltd
CONFIPET,Confidence Petroleum India Ltd
CORALFINAC,Coral India Finance & Housing Ltd
DCW,Dcw Limited
DWARKESH,Dwarikesh Sugar Industries Limited
EMUDHRA,eMudhra Ltd
FCL,Fineotex Chemical Limited
GENUSPOWER,Genus Power Infrastructures Limited
GICRE,General Insurance Corporation of India
GMBREW,Gm Breweries Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited
GPPL,Gujarat Pipavav Port Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSPL,Gujarat State Petronet Limited
HAL,Hindustan Aeronautics Ltd
HERITGFOOD,Heritage Foods Limited
HITECH,Hi-Tech Pipes Ltd
HLVLTD,HLV Ltd
HMAAGRO,HMA Agro Industries Ltd
HPAL,HP Adhesives Ltd
HPL,Hpl Electric & Power Limited
HUHTAMAKI,Huhtamaki India Ltd
INDOBORAX,Indo Borax & Chemicals Ltd
INDOWIND,Indowind Energy Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
INTENTECH,Intense Technologies Ltd
INTLCONV,International Conveyors Ltd
IPL,India Pesticides Ltd
IRCTC,Indian Railway Catering & Tourism Corporation Ltd
IRFC,Indian Railway Finance Corporation Ltd
JIOFIN,Jio Financial Services Ltd
JOCIL,Jocil Limited
JUBLINGREA,Jubilant Ingrevia Ltd
KAKATCEM,Kakatiya Cement Sugar & Industries Limited
KCP,Kcp Limited
KCPSUGIND,Kcp Sugar And Industries Corporation Limited
LLOYDSENGG,Lloyds Engineering Works Ltd
LOTUSEYE,Lotus Eye Care Hospital Limited
LXCHEM,Laxmi Organic Industries Ltd
MANAKSIA,Manaksia Limited
MENONBE,Menon Bearings Limited
MODISONLTD,Modison Ltd
NAVKARCORP,Navkar Corporation Limited
NRBBEARING,Nrb Bearing Limited
PARAS,Paras Defence and Space Technologies Ltd
PODDARMENT,Poddar Pigments Limited
PRAJIND,Praj Industries Limited
PRECISION,Precision Metaliks Ltd
PRECWIRE,Precision Wires India Limited
RAMCOIND,Ramco Industries Limited
RATEGAIN,Rategain Travel Technologies Ltd
SALASAR,Salasar Techno Engineering Ltd
SDBL,Som Distilleries & Breweries Limited
SHIVALIK,Shivalik Rasayan Ltd
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
SIGACHI,Sigachi Industries Ltd
SJVN,Sjvn Limited
SOTL,Savita Oil Technologies Limited
STARCEMENT,Star Cement Ltd
STEELXIND,Steel Exchange India Ltd
STEL,Stel Holdings Limited
SUMICHEM,Sumitomo Chemical India Ltd
TATAMOTORS,Tata Motors Limited
TI,Tilaknagar Industries Limited
TPLPLASTEH,Tpl Plastech Limited
TRACXN,TRACXN
UFO,Ufo Moviez India Limited
UJJIVANSFB,Ujjivan Small Finance Bank Ltd
UNIVCABLES,Universal Cables Limited
UTIAMC,UTI Asset Management Company Ltd
VETO,Veto Switchgears And Cables Limited
VLSFINANCE,Vls Finance Limited
ZENSARTECH,Zensar Technologies Limited
